"time","x_LK","y_LK","x_RK","y_RK","x_LA","y_LA","x_RA","y_RA"
"1.273202","511.0084561002858","212.08882538910507","493.2005524987841","212.8942149121474","519.0664656227201","244.32211125592778","499.9316691239057","248.46806982611872"
"1.308582","521.1408107178685","215.63079240257179","495.734551693215","216.8248476258512","518.5653988136855","253.47283626808735","494.81423178349957","253.4637645914397"
"1.351408","517.9117996868921","214.30285407040373","492.80655845315545","216.11884186147256","516.9035283545112","252.81212143953672","495.8090473575815","252.78709845041953"
"1.410046","519.7185471827883","215.36356576407468","490.7375417033986","214.75954048364542","517.3631487300888","252.43829416950393","490.9375907215163","251.43022517935316"
"1.456749","519.6314725764531","215.17744463612598","489.74842543546333","215.25403117020306","516.3959865941148","252.64576240272373","489.1646006543349","251.56329891932154"
"1.483585","519.5924879734619","215.60158767403334","488.59989721394703","215.86051828109805","516.7412161622995","253.76505217199662","486.58301731213527","252.71405290536848"
"1.525366","518.6142644622447","215.83148217108464","484.0034911159412","215.53434260624397","517.2258258032892","254.53314327729817","484.35189071239665","252.9153834242765"
"1.561196","519.4723641362172","214.49602345269943","488.53841889971426","218.35775863706834","516.6161686641233","253.5260522745927","481.8897904570465","251.81862108995017"
"1.590469","519.5715792763558","215.10338737992464","488.5669828778575","216.92551288530524","514.9652584090771","252.65908326620263","480.9863998472459","251.18620044990274"
"1.627382","518.5133631368556","214.85929520306422","482.2327605369954","213.42499230529552","511.34663741412334","251.5154449819127","479.51483225544143","251.23176117537088"
"1.653958","518.5186577585421","214.54920573549975","487.01633319780524","216.70614018421696","519.3319049048517","250.40883532572354","482.90194001550344","249.99818176982006"
"1.693368","521.2784034343082","212.761208619589","487.17733016552165","214.75589832350443","515.5509042702761","248.53868726440908","482.3777050211272","248.33341107201488"
"1.720176","520.1019182613388","210.56569425234073","487.216685729268","211.6663685364482","514.9493408203125","247.11335487217292","480.70325561998425","247.7008555371474"
"1.776609","518.743898384302","214.98572537314567","485.5323552825572","215.85387471121112","518.7322974297788","248.92964617658686","466.696553152359","247.79980088764592"
"1.826747","516.5168186291646","214.6015449256749","482.04178319552534","214.25334767144943","518.0045735993738","249.59838724692975","465.1105610294565","250.66024554657105"
"1.870483","508.2554888892267","211.814617943671","476.99455860894943","215.73685345482738","514.2013153194918","251.10806262539523","463.0224903863692","250.90646231684707"
"1.918515","505.18514789032105","210.74736385122816","475.3378816003466","214.55311768528088","512.7886293166342","250.54032405155647","463.1855107763862","251.33360676450025"
"1.974954","498.34240580161725","215.6603343681603","472.0549126413546","217.94892616123542","508.2128958497994","252.32026120196986","466.5235842693641","252.63948979359196"
"2.022112","492.6944608577031","216.37406286098616","473.0700973332624","217.85503936648837","502.7363684984497","252.535721953277","467.0042145131627","252.83501983523837"
"2.05988","488.15960052134","217.82698124392027","471.6525213931785","219.23696935037697","495.19595040050467","253.29740555462672","465.4014617088704","253.9844923204949"
"2.093957","488.15960052134","217.82698124392027","471.6525213931785","219.23696935037697","495.19595040050467","253.29740555462672","465.4014617088704","253.9844923204949"
"2.132908","486.1954982178685","216.29305852155278","465.6181027898529","217.4661376003162","489.96597705648105","252.90691877431908","464.11328362490883","253.05304358812623"
"2.156475","483.4384504385032","214.37788931405038","465.1960506216562","214.91271355179964","486.37264884028457","252.80254390731398","465.22545769242464","251.6842321254864"
"2.191648","475.4756429353113","212.2903245265382","463.38667267676925","213.0882948344784","481.080421536813","251.8055700161114","463.7272146499575","250.52228186937623"
"2.240659","469.26046527313355","212.58055073185193","461.4903212966622","212.41142635122816","469.463009845422","252.71536812986386","459.4324333695586","252.1390974586576"
"2.284484","466.99096109709393","213.97630743479453","457.09625742871475","213.64969335177534","466.5810831864057","255.46455828596186","456.3498506657345","253.1923562135214"
"2.345167","458.7353981107126","215.2287383914458","452.6765635449599","218.6613057058609","462.2088722793045","255.15942620303383","445.19920877538306","255.90128026583784"
"2.38796","456.999942527207","215.6912252819492","447.6581727261673","218.97446403058126","462.903850392145","255.13130063305573","439.32157167664764","255.04793563427165"
"2.423784","446.7608186595635","217.29664225893725","439.40355400352627","216.62257284320282","460.55843415612844","255.9303838232612","430.40988028559707","253.57953807073812"
"2.453999","446.7608186595635","217.29664225893725","439.40355400352627","216.62257284320282","460.55843415612844","255.9303838232612","430.40988028559707","253.57953807073812"
"2.491528","437.80471314901513","220.27862715071745","456.4301130836576","218.01795858539032","460.2070331499271","256.89538764211454","447.04322096531496","257.45418943412574"
"2.542763","455.0780623024076","220.39922311983224","428.4566707388437","220.37989943686165","463.4202614869589","256.02899193670964","417.8838170864239","252.38919245500978"
"2.584322","454.8338689544322","218.5306263489482","426.7814456924854","219.45637577517027","458.27533932696986","255.21894854237598","411.9968722451058","253.5250068397374"
"2.632804","434.8051582069249","217.51918498829644","426.52872024714253","217.4114377507904","448.02441216257296","254.92204504347035","415.845826145276","253.63990350270552"
"2.650394","434.8051582069249","217.51918498829644","426.52872024714253","217.4114377507904","448.02441216257296","254.92204504347035","415.845826145276","253.63990350270552"
"2.691815","429.88402655338035","218.8196722245866","427.74243639044266","218.68228185037697","446.0757553159959","254.7829684840102","418.3323423630533","253.30249783408317"
"2.724635","421.6230677741975","218.31010704188964","426.3960511916343","218.13696954036965","432.64525607216683","254.43075810888865","418.98219815859073","254.41942694400535"
"2.756913","421.6230677741975","218.31010704188964","426.3960511916343","218.13696954036965","432.64525607216683","254.43075810888865","418.98219815859073","254.41942694400535"
"2.781725","417.20627412907345","216.68111719509972","426.3472529904852","216.75817586104694","427.1191548744529","253.93512081636067","419.2867906622386","253.3410103052043"
"2.830148","416.04236789807277","211.87525316527848","421.04554932590594","211.814719114786","420.3748522806724","253.75803764135458","407.65599065995866","251.53807358797422"
"2.860362","416.04236789807277","211.87525316527848","421.04554932590594","211.814719114786","420.3748522806724","253.75803764135458","407.65599065995866","251.53807358797422"
"2.886138","412.9009036053016","212.51263118996235","421.2843468810798","212.71510831484073","418.8968434612111","254.39858569430936","420.22343284517876","254.72007377416708"
"2.922107","406.21787698352387","211.22394725042562","415.7461725969723","212.79560679869894","415.69390085420724","253.77901378587063","414.17188259970817","255.7796051381627"
"2.958507","406.21787698352387","211.22394725042562","415.7461725969723","212.79560679869894","415.69390085420724","253.77901378587063","414.17188259970817","255.7796051381627"
"2.99479","398.0898233257843","207.44881454052165","413.4661466249696","206.75056522829527","401.9905431131445","253.25599284487475","409.69647715527725","252.87420678045964"
"3.029683","392.7482919655885","209.22517697820405","411.2528935888862","211.429864193215","401.7397061952821","252.44014897327946","387.72457280140446","251.28888913165736"
"3.066374","392.7482919655885","209.22517697820405","411.2528935888862","211.429864193215","401.7397061952821","252.44014897327946","387.72457280140446","251.28888913165736"
"3.087592","392.4717575845088","210.30780908013134","391.21038984602995","210.51588434004134","401.15601630897373","252.90118574446745","389.0651237992461","252.18330923592538"
"3.127424","394.115788203733","208.4724301586819","414.44173968719605","212.29204443549372","400.92261454660144","251.39296048531736","393.27239206514474","251.03525314627922"
"3.158889","388.70525814308735","211.45606751200756","413.9946645298821","216.65875837867827","402.2256647844723","250.87944962913429","399.5349852565662","250.81601534001095"
"3.191133","388.70525814308735","211.45606751200756","413.9946645298821","216.65875837867827","402.2256647844723","250.87944962913429","399.5349852565662","250.81601534001095"
"3.222929","384.65652501443947","213.88832228842415","393.75949726030524","213.19432216302897","399.81030558426556","253.66671384818824","404.76465508724465","253.5396429277116"
"3.254141","384.65652501443947","213.88832228842415","393.75949726030524","213.19432216302897","399.81030558426556","253.66671384818824","404.76465508724465","253.5396429277116"
"3.287981","353.4479676480423","218.65304339813355","388.62772734527","216.95407686344845","344.33076399866246","253.58206734861386","399.8835534715467","257.05641833353604"
"3.32248","353.4479676480423","218.65304339813355","388.62772734527","216.95407686344845","344.33076399866246","253.58206734861386","399.8835534715467","257.05641833353604"
"3.355353","354.5146484375","218.4650337427043","377.4338516650961","216.21353802513988","388.4048811025657","253.76366950009123","381.3652937477201","254.5483863919626"
"3.386505","354.5146484375","218.4650337427043","377.4338516650961","216.21353802513988","388.4048811025657","253.76366950009123","381.3652937477201","254.5483863919626"
