"time","x_LK","y_LK","x_RK","y_RK","x_LA","y_LA","x_RA","y_RA","x_LW","y_LW","x_RW","y_RW"
"1.421716","527.5730341454888","208.85664432985777","519.8722935539275","212.5263904616063","523.2800402214556","243.10330283317126","530.5449356494711","244.7960304824295","541.971100209752","174.39850447242827","522.0528683198565","172.15662001079158"
"1.497732","521.2158796852201","210.4513034449477","501.8248841994468","208.9522173098553","523.3037142623724","245.29129681420238","499.54124979100806","245.7141246276143","524.4224307286601","174.36946836241492","494.5098753457868","169.53699632934098"
"1.564388","518.1445944225742","214.94805599464985","496.6268134803624","215.7085255426192","507.8749168781919","246.7893712381445","494.5263999612415","247.11237688472767","519.1858138147495","181.69112078596186","491.4007858098249","176.4067848294626"
"1.631363","514.3381661144213","213.0811454090163","496.93801583019217","213.9168525428624","516.7955450510701","248.78338646795964","495.0860111221729","245.61922612171696","508.15455384013256","173.662518334296","487.31343903894094","171.10922918059947"
"1.698287","499.29034542573567","211.9675212221851","492.2946326111078","212.28981867096303","504.8286546046632","242.39378980347158","492.90826914746475","243.04974958961577","502.3886770997994","176.9587407093568","480.1683639348249","175.89614048820528"
"1.763333","496.7678460147131","215.9961212989421","496.96749034837063","211.3699371694127","501.11685501276753","240.6814012341926","496.750242240698","241.45205534107492","495.4411217359254","175.59367257797305","514.7217395352019","175.38090972306668"
"1.833276","495.1697808054171","215.39192739998788","489.5819315038303","215.3928042163181","501.65744600407345","239.4355801237233","487.8727129628223","239.59276631277362","499.53912519759245","175.14170748343264","472.3764344449173","174.09654241777116"
"1.898324","492.8246006353356","210.91908495713767","483.5573939460725","211.66559289123302","492.7508468924794","244.54458653787697","483.39963445403697","243.7718752849891","495.9310934460117","176.97580490409172","468.84613583338404","172.7105993129864"
"1.966739","489.7376338498602","212.02410959919143","488.99557744482615","213.88410682529792","490.54524913743313","247.4540654638862","479.3473266126581","247.0197041433609","494.5821452456226","173.111338099617","467.729746302742","172.25988199553137"
"2.030205","485.1355621694127","214.99526918166345","484.90711779167685","217.3403819043349","482.91832973613816","252.13781595786725","492.000764245653","252.5578447037634","490.21320553790736","178.57653428608342","468.4216218347216","174.00292541266418"
"2.100129","479.4832331438473","216.6723827555022","480.0243299907284","221.25179210618313","475.86191425249274","253.59036338004626","480.56502215314936","255.36979467488453","481.8901276940966","178.07364639697835","475.1355056465832","177.66036239208415"
"2.16221","475.82731373115274","221.78216481487112","474.1661514697836","221.96521708566394","474.4777247803685","254.189296381019","471.12400348826606","256.0277104359193","475.6938353067242","181.05849780368436","479.5713531850377","178.78818425872447"
"2.233169","481.18756174762893","218.60768501489542","463.91647208247207","220.99107414275295","481.94975120455376","250.63363754331834","461.0405482429475","248.99254088643","483.167446745045","182.7695037010579","455.2791904790856","180.57726053319556"
"2.30016","476.4633428076362","218.31503070282105","463.5291890541404","220.2029174329706","470.2692424610895","254.4331187682393","462.5232783811102","249.9774416912391","481.32410902921333","182.9692154821255","466.28047007994894","178.72292888953064"
"2.366101","461.50020234223007","218.1092823785567","458.7743489899988","218.13717188259972","461.3451744703004","252.34997178608342","457.1452579720939","251.82556817318215","469.63007708004017","175.784211511278","466.9099904813655","178.11478931709024"
"2.415358","460.50238535840225","217.0731215421328","451.907292109983","217.55395412816148","460.24642243737844","248.7170182165005","450.7203525884606","247.99910798425344","469.7360032374757","182.36225623936042","454.3211674671693","179.97465164837672"
"2.482128","455.7429925940844","215.6188879347033","447.5089453314993","216.74424797087795","453.19891001185556","248.3377277062561","458.2809374620015","247.04573884362844","461.9239406956773","181.958583490394","443.5408118578247","181.79438277070165"
"2.531278","450.7364725194553","217.48262849206594","440.83627188715957","218.9038465922909","451.4583621488935","253.11799544397496","447.5681304337914","252.3238359147009","452.64590869710605","182.6682314149137","429.1329321954037","176.69545974434584"
"2.582281","445.71025780110045","217.41727195175707","434.396494349617","219.0815705176921","447.4579888132296","252.18040899729453","437.7891665210056","248.59554543105548","447.7104781926374","182.6977059330922","428.72676389226655","178.72319867917076"
"2.614167","432.97844627766295","218.4252397707928","431.675126250152","219.40214805751464","434.57411710390323","249.4632900846608","431.4764261802347","249.6322795704645","434.2843967541647","179.6351551100438","425.4503373320465","177.6511558206165"
"2.650249","442.9567510107612","220.07604885472398","424.9294409844662","220.88696906538792","433.5215665468446","254.04897204447354","422.6423330344115","251.71535910521038","437.3090421327821","181.68693904654066","416.20919906675584","179.3319452783013"
"2.682199","428.15248291965594","218.4380210549915","420.7213970733524","218.6568879005046","437.0291691049064","251.72844390275418","418.72373968339616","251.41929869893","432.3139206704463","184.2592820935676","415.2136415711637","182.1530680971851"
